plot,Row,plant num,Species,Treatment,live_leaf_number,areial_cover(%
5,6,20,Lehmann lovegarss,J,NA,10
5,7,4,agave,S+H,P,NA
5,7,8,agave,S+H,3,NA
5,7,12,agave,S+H,P,NA
5,7,16,agave,S+H,P,NA
5,7,20,agave,S+H,P,NA
5,7,4,Lehmann lovegarss,S+H,NA,13
5,7,8,Lehmann lovegarss,S+H,NA,6
5,7,12,Lehmann lovegarss,S+H,NA,4
5,7,16,Lehmann lovegarss,S+H,NA,4
5,7,20,Lehmann lovegarss,S+H,NA,3
5,8,4,agave,W+J,3,NA
5,8,8,agave,W+J,8,NA
5,8,12,agave,W+J,10,NA
5,8,16,agave,W+J,5,NA
5,8,20,agave,W+J,P,NA
5,8,4,Lehmann lovegarss,W+J,NA,8
5,8,8,Lehmann lovegarss,W+J,NA,6
5,8,12,Lehmann lovegarss,W+J,NA,2
5,8,16,Lehmann lovegarss,W+J,NA,4
5,8,20,Lehmann lovegarss,W+J,NA,4
5,9,4,agave,H,4,NA
5,9,8,agave,H,P,NA
5,9,12,agave,H,P,NA
5,9,16,agave,H,P,NA
5,9,20,agave,H,P,NA
5,9,4,Lehmann lovegarss,H,NA,4
5,9,8,Lehmann lovegarss,H,NA,11
5,9,12,Lehmann lovegarss,H,NA,7
5,9,16,Lehmann lovegarss,H,NA,11
5,9,20,Lehmann lovegarss,H,NA,11
5,10,4,agave,J+S,P,NA
5,10,8,agave,J+S,3,NA
5,10,12,agave,J+S,7,NA
5,10,16,agave,J+S,8,NA
5,10,20,agave,J+S,3,NA
5,10,4,Lehmann lovegarss,J+S,NA,30
5,10,8,Lehmann lovegarss,J+S,NA,28
5,10,12,Lehmann lovegarss,J+S,NA,22
5,10,16,Lehmann lovegarss,J+S,NA,20
5,10,20,Lehmann lovegarss,J+S,NA,18
